14 Jfk St,42.37318,-71.119528,Russell House Tavern,2,4,American,Gastropub,Pub Food,French,Pizza
6 Ash St,42.37554,-71.124488,Cronkhite Dining Room,-9,-9,American,,,,
4 Central Sq,42.365289,-71.104448,Subway,1,3.5,Fast Food,Sandwiches,Subs,,
45 Quincy St,42.375983,-71.115298,Cambridge Queen's Head,1,3.5,Pub Food,Gastropub,,,
282 Concord Ave,42.383625,-71.133679,House of Chang,2,5,Chinese,Asian,Dim Sum,Taiwanese,Thai
152 Columbia St,42.366872,-71.097812,Camie's Bakery & Restaurant,1,5,Bakery,Caribbean,Sandwiches,Coffee,Diner
605 W Kendall St,42.364264,-71.081787,Aceituna Cafe,1,4,Cafe,Mediterranean,Middle Eastern,Coffee,Grill
233 Cardinal Medeiros Ave,42.367689,-71.09106,Hungry Mother,3,4.5,American,Southern,French,Contemporary,Vegetarian
350 3rd St,42.36366,-71.083431,Za,2,4.5,Pizza,American,Cafe,Organic,Pub Food
500 Technology Sq,42.363134,-71.092323,Mexicali Burrito Co.,1,4,Mexican,Vegetarian,Vegan,Cafe,American
2067 Massachusetts Ave,42.391487,-71.122895,Elephant Walk,2,4,French,Cambodian,Asian,Seafood,Fusion
2388 Massachusetts Ave,42.396942,-71.129898,Joe Sent Me,2,5,American,Burgers,Pub Food,Sandwiches,Traditional
1 Kendall Sq,42.366447,-71.09064,Kendall Square Cinema,-9,5,,,,,
169 Harvard St,42.366191,-71.095619,Izzy's Restaurant & Sub Shop,1,5,Sandwiches,Spanish,Puerto Rican,Latin American,American
57 Jfk St,42.372172,-71.12077,Bonchon Chicken,3,4,Chicken,Korean,Barbecue,Asian,Wings
1 Bennett St,42.372279,-71.122447,Henrietta's Table,3,4,American,Contemporary,Traditional,Vegetarian,Organic
295 3rd St,42.364562,-71.083068,Voltage Coffee & Art,1,4.5,Coffee,Cafe,Tea,,
350 3rd St,42.363721,-71.083279,Kika Tapas,3,4.5,Tapas,Spanish,Mediterranean,Portuguese,Latin
92 Hampshire St,42.368747,-71.094896,Lord Hobo,3,4.5,American,Gastropub,Contemporary,Traditional,Vegetarian
1238 Massachusetts Ave,42.372438,-71.116031,Hong Kong At Harvard Square,2,3.5,Chinese,Asian,Pan Asian,American,Diner
2072 Massachusetts Ave,42.391098,-71.123255,Darul Kabab,1,3.5,Indian,Halal,Pakistani,Mediterranean,Asian
1621 Cambridge St,42.374874,-71.10911,Mona Lisa Pizza & Grill,1,3.5,Pizza,Grill,Italian,Sandwiches,American
100 Main St,42.361674,-71.082189,100 Main Marketplace,-9,-9,American,Contemporary,Sandwiches,,
83 Mount Auburn St,42.372429,-71.11962,Felipe's Taqueria,1,3.5,Mexican,Cafe,Latin American,American,Tex Mex
472 Massachusetts Ave,42.363809,-71.101395,The Middle East,1,3,Middle Eastern,American,Israeli,Pub Food,
227 Alewife Brook Pkwy,42.389276,-71.143377,Chipotle Mexican Grill,1,3.5,Mexican,Grill,Fast Food,Tex Mex,Cafe
899 Main St,42.363497,-71.099409,Toscanini's Ice Cream,1,4.5,Ice Cream,Frozen Yogurt,Coffee,Cafe,Tea
163 Huron Ave,42.38233,-71.1313,Armando's Pizza,1,4.5,Pizza,Subs,Italian,Sandwiches,Deli
23 White St,42.389207,-71.118684,Emack & Bolio's,1,3.5,Ice Cream,Frozen Yogurt,Coffee,Tea,Smoothies
57 Jfk St,42.372132,-71.120826,Kaju Tofu House,1,3.5,Korean,Asian,Vegetarian,Japanese,Sushi
2 Arrow St,42.37091,-71.114283,Oberon,2,5,American,,,,
111 Harvard St,42.364993,-71.092793,Amelia's Trattoria,2,4,Italian,European,Pizza,American,Organic
1945 Massachusetts Ave,42.389767,-71.12018,Newtowne Grille,1,4,Italian,Steak,American,Pizza,Sandwiches
290 Main St,42.362339,-71.085625,Rebecca's Cafe,1,3.5,Cafe,Sandwiches,Bakery,American,Deli
29 Church St,42.374432,-71.120103,Lizzy's Homemade Ice Cream,1,4,Ice Cream,Frozen Yogurt,Coffee,Tea,
750 Memorial Dr,42.358,-71.114986,Starbucks,1,3.5,Cafe,Coffee,Tea,,
319 Western Ave,42.36462,-71.113247,Basta Pasta,2,4.5,Pasta,Italian,Pizza,European,Cafe
2480 Massachusetts Ave,42.398708,-71.132171,Dunkin' Donuts,1,3.5,Donuts,Coffee,Bakery,Pastries,Tea
10 Brookline St,42.363536,-71.101681,TT's,-9,-9,,,,,
1912 Massachusetts Ave,42.388955,-71.119854,Toad,2,3.5,American,Belgian,,,
313 Massachusetts Ave,42.362511,-71.09858,Darwin's,2,-9,,,,,
290 Main St,42.362305,-71.08564,Kendall Market & Deli,1,5,Deli,Sandwiches,Cafe,Vegetarian,American
1200 Cambridge St,42.373174,-71.097342,Casa Portugal Restaurant,2,4,Portuguese,Mexican,European,Seafood,American
1312 Massachusetts Ave,42.372994,-71.1177,JP Licks,1,4.5,Ice Cream,Frozen Yogurt,Cafe,Coffee,Kosher
